,style1,style2,style3,style4,style5,sval1,sval2,sval3,sval4,sval5,ID
89,112,97,24,136,198,0.3850688934326172,0.15461596846580505,0.14141514897346497,0.1298992931842804,0.054561544209718704,1722167_5.jpg
90,149,28,176,78,186,0.30915379524230957,0.1386801302433014,0.10987893491983414,0.09778507798910141,0.052814312279224396,1722167_6.jpg
91,112,11,136,24,97,0.3211573660373688,0.23964044451713562,0.16490226984024048,0.07794909179210663,0.05931766703724861,1806865_0.jpg
92,112,11,136,24,97,0.3211573660373688,0.23964044451713562,0.16490226984024048,0.07794909179210663,0.05931766703724861,1806865_1.jpg
93,97,24,11,66,112,0.8619166612625122,0.1357576698064804,0.0009623050573281944,0.0007897499017417431,0.00014013508916832507,1806865_2.jpg
94,109,108,64,70,11,0.29747673869132996,0.22904618084430695,0.08514923602342606,0.07743982970714569,0.060343824326992035,1806865_3.jpg
95,64,109,108,70,11,0.21525616943836212,0.15926536917686462,0.09763180464506149,0.07170940935611725,0.05326737090945244,1806865_4.jpg
96,54,167,45,20,134,0.41086792945861816,0.1628749817609787,0.14475378394126892,0.11260068416595459,0.03946070000529289,1806865_5.jpg
97,55,28,91,80,194,0.29792386293411255,0.2252834588289261,0.1145089715719223,0.09337266534566879,0.04909655451774597,1806865_6.jpg
98,154,138,104,152,57,0.5240920782089233,0.15057840943336487,0.07440772652626038,0.04870230332016945,0.04641426354646683,1814213_0.jpg
99,154,138,104,152,57,0.5240920782089233,0.15057840943336487,0.07440772652626038,0.04870230332016945,0.04641426354646683,1814213_1.jpg
100,55,80,91,194,28,0.5059531331062317,0.23688700795173645,0.0897299200296402,0.06989447772502899,0.0405958816409111,1814213_2.jpg
101,27,9,8,49,20,0.30919894576072693,0.17968715727329254,0.1266673356294632,0.06020253896713257,0.04055198282003403,1814213_3.jpg
102,167,93,109,64,97,0.3157351613044739,0.08767717331647873,0.06608439981937408,0.06598172336816788,0.06197292357683182,1814213_4.jpg
103,67,135,79,76,92,0.643957257270813,0.13613352179527283,0.06670692563056946,0.020319713279604912,0.020045846700668335,1814213_5.jpg
104,174,204,55,194,91,0.11475648730993271,0.11219082027673721,0.0962306335568428,0.08854718506336212,0.07099826633930206,1814213_6.jpg
105,31,90,196,156,47,0.3679814338684082,0.1616300791501999,0.07964251190423965,0.07824502885341644,0.04933125898241997,1825930_0.jpg
106,115,75,43,91,55,0.15809543430805206,0.08719832450151443,0.08361800014972687,0.07401436567306519,0.07388864457607269,1831943_0.jpg
107,47,128,163,90,102,0.2794998288154602,0.27717143297195435,0.06418190151453018,0.05414729565382004,0.05395517498254776,1950361_0.jpg
108,115,171,21,130,184,0.13496829569339752,0.11660955846309662,0.08850575238466263,0.07552498579025269,0.05388081818819046,201579_0.jpg
109,55,194,154,91,57,0.2892518639564514,0.09735388308763504,0.08398903161287308,0.07711802423000336,0.05809798091650009,20542_0.jpg
110,55,194,154,91,57,0.2892518639564514,0.09735388308763504,0.08398903161287308,0.07711802423000336,0.05809798091650009,20542_1.jpg
111,127,136,24,112,64,0.1996850222349167,0.19214050471782684,0.16249290108680725,0.10042556375265121,0.03521258011460304,20542_2.jpg
112,108,64,109,70,152,0.21165397763252258,0.20173712074756622,0.1909034550189972,0.10434399545192719,0.1017024964094162,20542_3.jpg
113,24,136,11,195,112,0.2635120451450348,0.2071303427219391,0.14289486408233643,0.12448017299175262,0.11626376211643219,20542_4.jpg
114,109,108,70,64,84,0.4491663873195648,0.28046971559524536,0.10559751093387604,0.09132149815559387,0.014331984333693981,20542_5.jpg
115,64,136,152,18,112,0.14495758712291718,0.14394855499267578,0.09298350661993027,0.06515539437532425,0.05889483541250229,20542_6.jpg
116,164,71,138,204,55,0.22506828606128693,0.2046291083097458,0.13510176539421082,0.12743525207042694,0.062340401113033295,2134100_0.jpg
117,164,71,138,204,55,0.22506828606128693,0.2046291083097458,0.13510176539421082,0.12743525207042694,0.062340401113033295,2134100_1.jpg
118,24,97,66,11,112,0.5632908344268799,0.3924916088581085,0.022296521812677383,0.007931247353553772,0.004416280426084995,2134100_2.jpg
119,108,109,20,64,112,0.2719792425632477,0.24129784107208252,0.14658741652965546,0.04990362375974655,0.03882244974374771,2134100_3.jpg
120,108,109,84,93,129,0.4341049790382385,0.2965580224990845,0.07963504642248154,0.06405260413885117,0.03729432076215744,2134100_4.jpg
121,167,97,95,66,24,0.583565890789032,0.20120856165885925,0.03230806067585945,0.024529732763767242,0.015428331680595875,2134100_5.jpg
122,167,105,45,97,95,0.6783739328384399,0.2291329801082611,0.0314086452126503,0.01455011498183012,0.013044320046901703,2134100_6.jpg
123,195,138,104,115,43,0.2553233206272125,0.14782585203647614,0.08142329007387161,0.0785452201962471,0.0637490302324295,2192223_0.jpg
124,195,138,154,104,139,0.8168660402297974,0.05481674522161484,0.052666980773210526,0.010235614143311977,0.008198022842407227,2202262_0.jpg
125,24,97,66,95,11,0.7660666704177856,0.2041226178407669,0.0174622293561697,0.0066344039514660835,0.003622144926339388,220558_0.jpg
126,24,97,66,95,11,0.7660666704177856,0.2041226178407669,0.0174622293561697,0.0066344039514660835,0.003622144926339388,220558_1.jpg
127,24,97,66,11,112,0.605174720287323,0.29938530921936035,0.07333213835954666,0.016022270545363426,0.0016074767336249352,220558_2.jpg
128,24,97,127,64,70,0.3695346713066101,0.1510484218597412,0.0724305659532547,0.06297602504491806,0.04260435700416565,220558_3.jpg
129,24,97,112,136,66,0.5060350894927979,0.24830326437950134,0.08177635818719864,0.06365601718425751,0.022966798394918442,220558_4.jpg
130,24,97,112,136,11,0.5665567517280579,0.11805455386638641,0.1071094274520874,0.0727493017911911,0.030871504917740822,220558_5.jpg
131,45,71,167,24,134,0.6516062617301941,0.0939251035451889,0.06459112465381622,0.03903957083821297,0.03507551550865173,220558_6.jpg
132,163,47,121,193,148,0.14265546202659607,0.08515084534883499,0.07513438165187836,0.06647907942533493,0.056046802550554276,2243953_0.jpg
133,163,47,121,193,148,0.14265546202659607,0.08515084534883499,0.07513438165187836,0.06647907942533493,0.056046802550554276,2243953_1.jpg
134,140,71,164,118,32,0.38077327609062195,0.06664524227380753,0.04606189578771591,0.03728201985359192,0.032345306128263474,2243953_2.jpg
135,63,138,3,163,111,0.3497927784919739,0.1086149662733078,0.04203546419739723,0.040874697268009186,0.02925153449177742,2243953_3.jpg
136,195,136,138,112,154,0.23944148421287537,0.1834608018398285,0.1251922845840454,0.11398737132549286,0.03876081109046936,2243953_4.jpg
137,108,109,64,70,136,0.40908774733543396,0.36910995841026306,0.08435065299272537,0.05303744226694107,0.016686225309967995,2243953_5.jpg
138,112,136,198,113,20,0.5704556703567505,0.3489198386669159,0.03590378910303116,0.007648815866559744,0.0045219287276268005,2243953_6.jpg
139,64,70,136,112,152,0.7229865193367004,0.2531900405883789,0.013076474890112877,0.0025434414856135845,0.0012816255912184715,2254431_0.jpg
140,164,55,43,162,186,0.16985288262367249,0.12193958461284637,0.10718275606632233,0.06836658716201782,0.06650708615779877,2257309_0.jpg
141,164,55,43,162,186,0.16985288262367249,0.12193958461284637,0.10718275606632233,0.06836658716201782,0.06650708615779877,2257309_1.jpg
142,111,115,199,41,43,0.18509235978126526,0.16961631178855896,0.12379741668701172,0.06861773133277893,0.057037778198719025,2257309_2.jpg
143,194,131,80,91,55,0.21414610743522644,0.12733778357505798,0.12142296135425568,0.10992957651615143,0.10190440714359283,2257309_3.jpg
144,55,80,28,91,194,0.30317994952201843,0.1958809196949005,0.19248898327350616,0.11712697893381119,0.05820859596133232,2257309_4.jpg
145,170,83,186,121,193,0.27877768874168396,0.14279979467391968,0.11154884099960327,0.0890481099486351,0.08512719720602036,2257309_5.jpg
146,138,195,154,64,70,0.4882553219795227,0.3277091681957245,0.09873125702142715,0.01301246602088213,0.007430641446262598,2257309_6.jpg
147,112,136,109,108,113,0.3133646547794342,0.26701879501342773,0.08737439662218094,0.05127822235226631,0.04438510537147522,228433_0.jpg
148,163,102,47,128,111,0.27017366886138916,0.20679867267608643,0.17287921905517578,0.15065066516399384,0.048915963619947433,2316478_0.jpg
149,164,55,204,115,151,0.36933618783950806,0.15429551899433136,0.07993566989898682,0.053127072751522064,0.04907659813761711,2447789_0.jpg
150,164,55,204,115,151,0.36933618783950806,0.15429551899433136,0.07993566989898682,0.053127072751522064,0.04907659813761711,2447789_1.jpg
151,67,78,79,164,55,0.5075652003288269,0.10580770671367645,0.08319102227687836,0.08069594204425812,0.03412862494587898,2447789_2.jpg
152,55,204,91,164,194,0.4047090411186218,0.12850922346115112,0.10010892152786255,0.06161157041788101,0.061076559126377106,2447789_3.jpg
153,136,112,113,198,64,0.48110780119895935,0.42651838064193726,0.03749144822359085,0.015926752239465714,0.014381726272404194,2447789_4.jpg
154,136,112,113,198,24,0.396466463804245,0.3558430075645447,0.07956935465335846,0.022786354646086693,0.020286165177822113,2447789_5.jpg
155,109,108,64,20,70,0.3372763991355896,0.29849255084991455,0.07413448393344879,0.047241441905498505,0.034808725118637085,2447789_6.jpg
156,154,138,25,143,13,0.15703268349170685,0.15037134289741516,0.06259886175394058,0.05698298662900925,0.048293016850948334,2503408_0.jpg
157,24,97,66,112,11,0.5141041278839111,0.46224936842918396,0.016398493200540543,0.0017755806911736727,0.00141623814124614,2656392_0.jpg
158,24,97,66,112,11,0.5141041278839111,0.46224936842918396,0.016398493200540543,0.0017755806911736727,0.00141623814124614,2656392_1.jpg
159,128,90,47,116,65,0.220157653093338,0.16924533247947693,0.16641569137573242,0.07757134735584259,0.054934997111558914,2656392_2.jpg
160,8,49,99,39,88,0.20350439846515656,0.1902180165052414,0.1040249839425087,0.07256324589252472,0.044676948338747025,2656392_3.jpg
161,24,97,66,11,112,0.6189599633216858,0.36423707008361816,0.01143421046435833,0.0016437178710475564,0.0012769156601279974,2656392_4.jpg
162,47,92,163,128,25,0.18447032570838928,0.158766508102417,0.09853119403123856,0.09536269307136536,0.06642971932888031,2656392_5.jpg
163,112,136,113,150,198,0.4343191087245941,0.3822135031223297,0.08576823025941849,0.02753720059990883,0.01506563276052475,2656392_6.jpg
164,138,195,71,113,136,0.22437620162963867,0.21080872416496277,0.1411733329296112,0.0822032019495964,0.06357182562351227,2672540_0.jpg
165,138,195,71,113,136,0.22437620162963867,0.21080872416496277,0.1411733329296112,0.0822032019495964,0.06357182562351227,2672540_1.jpg
166,109,108,84,134,153,0.45164990425109863,0.37997642159461975,0.07748419791460037,0.06929521262645721,0.010895859450101852,2672540_2.jpg
167,109,108,134,93,84,0.29458290338516235,0.278589129447937,0.10947556793689728,0.06604736298322678,0.03310755640268326,2672540_3.jpg
168,24,112,97,127,136,0.44271120429039,0.1291683167219162,0.0796419009566307,0.07684878259897232,0.07516960799694061,2672540_4.jpg
169,167,134,110,20,109,0.41290897130966187,0.0915452390909195,0.057147253304719925,0.050334908068180084,0.037393078207969666,2672540_5.jpg
170,167,114,84,95,20,0.699640154838562,0.030646756291389465,0.03047192096710205,0.03016791120171547,0.029275914654135704,2672540_6.jpg
171,64,136,112,70,9,0.25286367535591125,0.13683106005191803,0.10451991856098175,0.08974005281925201,0.08878986537456512,269244_0.jpg
172,64,136,112,70,9,0.25286367535591125,0.13683106005191803,0.10451991856098175,0.08974005281925201,0.08878986537456512,269244_1.jpg
173,23,49,152,123,18,0.2698223292827606,0.08957406133413315,0.06980255991220474,0.06901686638593674,0.06755661219358444,269244_2.jpg
174,164,71,114,32,45,0.38554447889328003,0.09024780988693237,0.06925701349973679,0.062318332493305206,0.04867659509181976,269244_3.jpg
175,64,136,70,112,127,0.3940581977367401,0.18116241693496704,0.1576491743326187,0.11157097667455673,0.04119100421667099,269244_4.jpg
176,152,124,17,77,28,0.33593377470970154,0.06868524849414825,0.06736837327480316,0.05639820173382759,0.05087246745824814,269244_5.jpg
177,64,93,70,9,85,0.3359145522117615,0.17544621229171753,0.1488390415906906,0.10567094385623932,0.05380594730377197,269244_6.jpg
178,112,136,113,198,195,0.512890636920929,0.31233519315719604,0.085335873067379,0.0696491226553917,0.002680476289242506,2802236_0.jpg
179,112,136,113,198,195,0.512890636920929,0.31233519315719604,0.085335873067379,0.0696491226553917,0.002680476289242506,2802236_1.jpg
180,170,128,47,163,102,0.23967644572257996,0.19262230396270752,0.1814645230770111,0.11433662474155426,0.08043791353702545,2802236_2.jpg
181,195,138,139,154,152,0.44419732689857483,0.041502539068460464,0.03582325950264931,0.031057113781571388,0.030364837497472763,2802236_3.jpg
182,5,39,124,81,46,0.1665109097957611,0.08021446317434311,0.07651074230670929,0.07301729917526245,0.051851898431777954,2802236_4.jpg
183,129,150,9,113,23,0.2636440396308899,0.19127541780471802,0.04399757832288742,0.042436372488737106,0.04162822663784027,2802236_5.jpg
184,93,129,64,136,112,0.2414989173412323,0.21727386116981506,0.15615937113761902,0.1085648313164711,0.07773321121931076,2802236_6.jpg
185,90,65,102,47,111,0.1865217387676239,0.12226666510105133,0.09027373790740967,0.08049450814723969,0.07706241309642792,296928_0.jpg
186,43,55,67,91,204,0.2564601004123688,0.2229509800672531,0.053114086389541626,0.04096071049571037,0.039113692939281464,298838_0.jpg
187,43,55,67,91,204,0.2564601004123688,0.2229509800672531,0.053114086389541626,0.04096071049571037,0.039113692939281464,298838_1.jpg
188,55,91,194,138,204,0.19540277123451233,0.15080572664737701,0.1253627985715866,0.10712967067956924,0.10223456472158432,298838_2.jpg
189,43,195,104,115,55,0.6202393174171448,0.11843081563711166,0.06477804481983185,0.03929930180311203,0.0313141867518425,298838_3.jpg
190,43,139,195,104,31,0.5369582176208496,0.08059822022914886,0.06057503819465637,0.03649432584643364,0.027570974081754684,298838_4.jpg
191,43,55,104,138,80,0.2708393931388855,0.16515979170799255,0.0720641165971756,0.053659893572330475,0.03463451564311981,298838_5.jpg
192,64,152,136,11,112,0.10563359409570694,0.10360538959503174,0.09814626723527908,0.07218969613313675,0.06094437837600708,298838_6.jpg
193,136,112,113,198,129,0.28477510809898376,0.19358114898204803,0.12359286844730377,0.08377636969089508,0.0681147426366806,3183280_0.jpg
194,24,97,136,112,11,0.3794615566730499,0.2407699078321457,0.14870727062225342,0.12588484585285187,0.07550109922885895,3540774_0.jpg
195,24,97,136,112,11,0.3794615566730499,0.2407699078321457,0.14870727062225342,0.12588484585285187,0.07550109922885895,3540774_1.jpg
196,204,55,91,194,67,0.2228202521800995,0.21574172377586365,0.0989006981253624,0.09822555631399155,0.09122228622436523,3540774_2.jpg
197,24,97,136,112,11,0.5648013353347778,0.24131321907043457,0.052297987043857574,0.04870683699846268,0.022456886246800423,3540774_3.jpg
198,170,121,197,92,79,0.27462178468704224,0.09709228575229645,0.09483301639556885,0.08401134610176086,0.08120366185903549,3540774_4.jpg
199,24,97,11,136,112,0.6014976501464844,0.35498854517936707,0.016205672174692154,0.00815579853951931,0.007082771509885788,3540774_5.jpg
200,97,24,11,136,66,0.5742257833480835,0.4082207679748535,0.005404154770076275,0.003670141100883484,0.002692417474463582,3540774_6.jpg
201,164,43,71,162,140,0.7632974982261658,0.13486647605895996,0.016586031764745712,0.011796274222433567,0.011571775190532207,3667033_0.jpg
202,164,43,71,162,140,0.7632974982261658,0.13486647605895996,0.016586031764745712,0.011796274222433567,0.011571775190532207,3667033_1.jpg
203,136,112,64,195,70,0.39594951272010803,0.2020629346370697,0.09338308870792389,0.05968571826815605,0.04008292034268379,3667033_2.jpg
204,24,97,11,66,95,0.7913215160369873,0.16809773445129395,0.016180137172341347,0.007032677531242371,0.00402067368850112,3667033_3.jpg
205,24,97,11,64,195,0.7506099343299866,0.1063239797949791,0.039534009993076324,0.018604759126901627,0.01403122115880251,3667033_4.jpg
206,121,35,193,197,83,0.3187457025051117,0.2868383228778839,0.11906850337982178,0.08538903295993805,0.048528142273426056,3667033_5.jpg
